movieId,isFresh,isRotten,isTopCritic,scoreSentiment,rating,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,movieRank,critic_score,audience_score
a0d8e1e3-2f44-3ceb-9576-fe587dac6a24,False,True,True,0,2.5,False,False,False,False,48,.830000,.850000
f3d4d7d9-1a2c-37bc-b663-682e01ea1fbf,False,True,False,0,1,False,False,False,False,71,.730000,.570000
7cfa215f-4b44-3188-9770-3ddd813d1c9f,True,False,False,1,5,True,False,False,True,93,.580000,.730000
df35d67b-c89e-30fa-bff5-c31006cc6ae4,True,False,True,1,4.5,False,False,False,True,42,.850000,.850000
eed54fc4-8990-3bfd-bd98-f820427deaa2,False,True,False,0,1,False,False,False,False,95,.570000,.840000
a0c4ef79-5e4c-399c-98c7-bdab95639511,True,False,True,1,4.5,False,False,False,True,64,.760000,.820000
bfd2fd97-a33c-3aad-8684-772d88959b5a,True,False,True,1,4,False,False,True,True,57,.790000,.450000
0b607287-3f4f-3c7d-9487-581fe7fbaf30,True,False,True,1,1.5,False,True,False,False,67,.730000,.900000
1ce8792a-fb45-3bd8-a726-22005f03e075,False,True,False,0,4,True,False,False,False,100,.510000,.640000
41ca006b-8820-379c-84fc-aaae870b37f6,True,False,False,1,1,False,True,False,False,9,.940000,.910000
6263201f-baf8-3312-a482-f8dec3edd662,True,False,False,1,5,False,False,True,True,8,.940000,.940000
e53e6850-82b5-3727-a768-d99df185a901,True,False,False,1,3,False,True,False,False,84,.640000,.600000
30a2404f-54da-31be-9de8-a847b4e3a21a,True,False,True,1,2,False,True,False,False,72,.730000,.720000
4f15afc8-8852-3a4e-8285-1aac469e7a72,False,True,False,0,2,False,False,False,False,11,.940000,.510000
e30a2b53-f8e0-35f2-a0a2-cac777f4bdc1,False,True,False,0,1,False,False,False,False,22,.910000,.950000
0b50d1b4-e68f-380f-a68c-042ee9b3576f,True,False,False,1,0.5,False,False,False,False,39,.850000,.870000
591fdf7c-5514-3d4b-89d5-d86b785eab41,False,True,False,0,2.5,False,False,False,False,68,.720000,.710000
8061ee78-2e4d-3285-922d-c6a107a0c32a,True,False,False,1,4,False,False,False,False,79,.670000,.690000
a0d8e1e3-2f44-3ceb-9576-fe587dac6a24,False,True,True,0,2,False,False,False,False,48,.830000,.850000
3756680d-548e-352c-8655-f708337b763d,False,True,False,0,3.5,False,True,False,False,50,.810000,.660000
4517f650-c60a-4edc-b37e-9236213c2b93,True,False,True,1,4.5,False,False,False,True,1,.970000,.940000
0ade96f4-c9f4-3691-9912-8e7319858082,True,False,False,1,5,False,False,True,False,24,.900000,.820000
591fdf7c-5514-3d4b-89d5-d86b785eab41,True,False,False,1,3.5,False,True,False,False,68,.720000,.710000
caf7974e-b836-3c04-95ab-3e77e3826a19,False,True,False,0,1,False,False,False,False,27,.900000,.920000
eed54fc4-8990-3bfd-bd98-f820427deaa2,False,True,False,0,2,False,True,False,False,95,.570000,.840000
b301b885-1a2f-381f-a101-ce51ddaad5d3,False,True,False,0,3.5,False,False,False,True,76,.710000,.690000
9d36e70e-2ede-34a5-9f2e-8eae12cf7731,False,True,False,0,3.5,False,False,False,False,58,.790000,.910000
9ddacc49-1918-3722-b5d9-4a1fa6b9b2a3,True,False,False,1,2,False,True,False,False,2,.970000,.750000
487e9820-001e-3da7-b47b-37003a7d7bc9,True,False,False,1,3,False,True,False,False,15,.930000,.840000
3fbc9d82-14f0-3592-a00c-4f67b2a0da70,False,True,True,0,5,False,False,False,True,99,.560000,.750000
b4b3abfc-eb38-33d1-ba76-e1e3ea823f1a,False,True,True,0,2,False,True,False,False,55,.800000,.750000
eed54fc4-8990-3bfd-bd98-f820427deaa2,False,True,False,0,3.5,True,False,True,False,95,.570000,.840000
7807e2b5-72d7-3dc7-8cd4-b9482b82fe01,False,True,False,0,3.5,False,False,True,True,85,.630000,.830000
27539355-4940-4c29-aaab-d3fe4dafa4ee,False,True,True,0,0.5,False,False,True,True,4,.950000,.940000
1ce8792a-fb45-3bd8-a726-22005f03e075,True,False,False,1,3.5,False,False,False,True,100,.510000,.640000
3fbc9d82-14f0-3592-a00c-4f67b2a0da70,False,True,True,0,3,False,False,True,False,99,.560000,.750000
591fdf7c-5514-3d4b-89d5-d86b785eab41,False,True,True,0,4,False,False,False,False,68,.720000,.710000
41ccc283-198e-3d38-bd20-dc6634bf300a,False,True,True,0,3.5,False,True,False,False,32,.870000,.790000
a2b255da-eb4d-3436-804b-fbe7b8732097,True,False,True,1,4.5,False,True,False,False,96,.570000,.680000
94c0f3b6-6002-30d6-bdf1-bc878f7e6168,False,True,False,0,4,False,True,False,False,31,.890000,.860000
7cfa215f-4b44-3188-9770-3ddd813d1c9f,False,True,False,0,3.5,False,False,False,True,93,.580000,.730000
df35d67b-c89e-30fa-bff5-c31006cc6ae4,True,False,True,1,4.5,False,False,False,False,42,.850000,.850000
df35d67b-c89e-30fa-bff5-c31006cc6ae4,False,True,True,0,3.5,False,False,False,False,42,.850000,.850000
74485c7b-8cec-3370-9b67-f5b17d46450c,False,True,False,0,4.5,False,False,False,False,62,.770000,.760000
afc309b1-7264-31b5-ab5d-cd09cfbe5b3c,False,True,False,0,1,False,False,False,False,56,.800000,.720000
86f13afa-deda-3061-9b4f-602d7b36a81f,False,True,False,0,2,False,False,False,False,34,.870000,.620000
7a3c018f-d71c-3add-866b-5c262cf8ce56,False,True,False,0,2,False,False,False,False,51,.830000,.880000
161dddb8-84c7-3ded-b9ed-0b2381422464,False,True,False,0,3,False,False,False,False,16,.930000,.820000
